Comment,Designator,Footprint,LCSC Part Number
VNH7040AYTR,U3,VNH7040AYTR:POWERSSO-36TP_STM,C2969764
LM2596S-5.0/NOPB,U1,Package_TO_SOT_SMD:TO-263-5_TabPin3,C116713
1N4001,D1,Diode_SMD:D_SMA_Handsoldering,C2909965
1N5822,D2,Diode_SMD:D_SMA_Handsoldering,C8678
15K,"R12, R14",Resistor_SMD:R_0805_2012Metric,C17475
10K,"R1, R2, R3, R8, R9, R10",Resistor_SMD:R_0805_2012Metric,C84376
1K,"R4, R5, R6, R7, R19",Resistor_SMD:R_0805_2012Metric,C95781
220R,R13,Resistor_SMD:R_0805_2012Metric,C17557
100R,R11,Resistor_SMD:R_0805_2012Metric,C17408
0.1µF,"C1, C3, C4, C5, C6, C9, C10, C11, C15",Capacitor_SMD:C_0805_2012Metric,C49678
100 µF,C8,Capacitor_SMD:C_1206_3216Metric,C15008
220 µF,C2,Capacitor_SMD:CP_Elec_6.3x7.7,C4747974
470 µF,C16,Capacitor_SMD:CP_Elec_8x10.5,C48935394
